	trial_type	block_num	trialID	shape	colour	direction	istarget	start_loc	target_position	accuracy_or_button	unique_ID	block_num_mod	trial_type_mod	shape_mod	colour_mod	direction_mod	start_loc_mod	istarget_mod	accuracy_or_button_mod	condition_name
0	1	4	125	2	2	2	0	1	0	0	412220001	block4_	disappearance_	shape2_	white_	counterclockwise_	loc1_	notarget_	incorrect_or_nopress	block4_disappearance_shape2_white_counterclockwise_notarget_incorrect_or_nopressloc1_
1	1	4	132	2	2	1	0	4	0	1	412210104	block4_	disappearance_	shape2_	white_	clockwise_	loc4_	notarget_	correct_or_press	block4_disappearance_shape2_white_clockwise_notarget_correct_or_pressloc4_
2	1	4	114	1	2	1	0	2	0	1	411210102	block4_	disappearance_	shape1_	white_	clockwise_	loc2_	notarget_	correct_or_press	block4_disappearance_shape1_white_clockwise_notarget_correct_or_pressloc2_
3	1	4	118	2	1	2	0	2	0	1	412120102	block4_	disappearance_	shape2_	black_	counterclockwise_	loc2_	notarget_	correct_or_press	block4_disappearance_shape2_black_counterclockwise_notarget_correct_or_pressloc2_
4	1	4	131	2	2	1	0	3	0	1	412210103	block4_	disappearance_	shape2_	white_	clockwise_	loc3_	notarget_	correct_or_press	block4_disappearance_shape2_white_clockwise_notarget_correct_or_pressloc3_
5	1	4	126	2	2	2	0	2	0	1	412220102	block4_	disappearance_	shape2_	white_	counterclockwise_	loc2_	notarget_	correct_or_press	block4_disappearance_shape2_white_counterclockwise_notarget_correct_or_pressloc2_
6	1	4	101	1	1	2	1	1	21	0	411121001	block4_	disappearance_	shape1_	black_	counterclockwise_	loc1_	istarget_	incorrect_or_nopress	block4_disappearance_shape1_black_counterclockwise_istarget_incorrect_or_nopressloc1_
7	1	4	108	1	1	1	0	4	0	1	411110104	block4_	disappearance_	shape1_	black_	clockwise_	loc4_	notarget_	correct_or_press	block4_disappearance_shape1_black_clockwise_notarget_correct_or_pressloc4_
8	1	4	122	2	1	1	0	2	0	1	412110102	block4_	disappearance_	shape2_	black_	clockwise_	loc2_	notarget_	correct_or_press	block4_disappearance_shape2_black_clockwise_notarget_correct_or_pressloc2_
9	1	4	117	2	1	2	0	1	0	1	412120101	block4_	disappearance_	shape2_	black_	counterclockwise_	loc1_	notarget_	correct_or_press	block4_disappearance_shape2_black_counterclockwise_notarget_correct_or_pressloc1_
10	1	4	105	1	1	1	0	1	0	1	411110101	block4_	disappearance_	shape1_	black_	clockwise_	loc1_	notarget_	correct_or_press	block4_disappearance_shape1_black_clockwise_notarget_correct_or_pressloc1_
11	1	4	123	2	1	1	0	3	0	1	412110103	block4_	disappearance_	shape2_	black_	clockwise_	loc3_	notarget_	correct_or_press	block4_disappearance_shape2_black_clockwise_notarget_correct_or_pressloc3_
12	1	4	118	2	1	2	0	2	0	1	412120102	block4_	disappearance_	shape2_	black_	counterclockwise_	loc2_	notarget_	correct_or_press	block4_disappearance_shape2_black_counterclockwise_notarget_correct_or_pressloc2_
13	1	4	104	1	1	2	0	4	0	1	411120104	block4_	disappearance_	shape1_	black_	counterclockwise_	loc4_	notarget_	correct_or_press	block4_disappearance_shape1_black_counterclockwise_notarget_correct_or_pressloc4_
14	1	4	113	1	2	1	0	1	0	1	411210101	block4_	disappearance_	shape1_	white_	clockwise_	loc1_	notarget_	correct_or_press	block4_disappearance_shape1_white_clockwise_notarget_correct_or_pressloc1_
15	1	4	121	2	1	1	0	1	0	1	412110101	block4_	disappearance_	shape2_	black_	clockwise_	loc1_	notarget_	correct_or_press	block4_disappearance_shape2_black_clockwise_notarget_correct_or_pressloc1_
16	1	4	115	1	2	1	1	3	11	1	411211103	block4_	disappearance_	shape1_	white_	clockwise_	loc3_	istarget_	correct_or_press	block4_disappearance_shape1_white_clockwise_istarget_correct_or_pressloc3_
17	1	4	119	2	1	2	0	3	0	1	412120103	block4_	disappearance_	shape2_	black_	counterclockwise_	loc3_	notarget_	correct_or_press	block4_disappearance_shape2_black_counterclockwise_notarget_correct_or_pressloc3_
18	1	4	107	1	1	1	0	3	0	1	411110103	block4_	disappearance_	shape1_	black_	clockwise_	loc3_	notarget_	correct_or_press	block4_disappearance_shape1_black_clockwise_notarget_correct_or_pressloc3_
19	1	4	132	2	2	1	0	4	0	1	412210104	block4_	disappearance_	shape2_	white_	clockwise_	loc4_	notarget_	correct_or_press	block4_disappearance_shape2_white_clockwise_notarget_correct_or_pressloc4_
20	1	4	123	2	1	1	0	3	0	1	412110103	block4_	disappearance_	shape2_	black_	clockwise_	loc3_	notarget_	correct_or_press	block4_disappearance_shape2_black_clockwise_notarget_correct_or_pressloc3_
21	1	4	121	2	1	1	1	1	18	1	412111101	block4_	disappearance_	shape2_	black_	clockwise_	loc1_	istarget_	correct_or_press	block4_disappearance_shape2_black_clockwise_istarget_correct_or_pressloc1_
22	1	4	112	1	2	2	0	4	0	1	411220104	block4_	disappearance_	shape1_	white_	counterclockwise_	loc4_	notarget_	correct_or_press	block4_disappearance_shape1_white_counterclockwise_notarget_correct_or_pressloc4_
23	1	4	115	1	2	1	0	3	0	1	411210103	block4_	disappearance_	shape1_	white_	clockwise_	loc3_	notarget_	correct_or_press	block4_disappearance_shape1_white_clockwise_notarget_correct_or_pressloc3_
24	1	4	104	1	1	2	0	4	0	1	411120104	block4_	disappearance_	shape1_	black_	counterclockwise_	loc4_	notarget_	correct_or_press	block4_disappearance_shape1_black_counterclockwise_notarget_correct_or_pressloc4_
25	1	4	102	1	1	2	0	2	0	1	411120102	block4_	disappearance_	shape1_	black_	counterclockwise_	loc2_	notarget_	correct_or_press	block4_disappearance_shape1_black_counterclockwise_notarget_correct_or_pressloc2_
26	1	4	127	2	2	2	0	3	0	1	412220103	block4_	disappearance_	shape2_	white_	counterclockwise_	loc3_	notarget_	correct_or_press	block4_disappearance_shape2_white_counterclockwise_notarget_correct_or_pressloc3_
27	1	4	127	2	2	2	0	3	0	1	412220103	block4_	disappearance_	shape2_	white_	counterclockwise_	loc3_	notarget_	correct_or_press	block4_disappearance_shape2_white_counterclockwise_notarget_correct_or_pressloc3_
28	1	4	123	2	1	1	0	3	0	1	412110103	block4_	disappearance_	shape2_	black_	clockwise_	loc3_	notarget_	correct_or_press	block4_disappearance_shape2_black_clockwise_notarget_correct_or_pressloc3_
29	1	4	104	1	1	2	0	4	0	1	411120104	block4_	disappearance_	shape1_	black_	counterclockwise_	loc4_	notarget_	correct_or_press	block4_disappearance_shape1_black_counterclockwise_notarget_correct_or_pressloc4_
30	1	4	103	1	1	2	1	3	15	1	411121103	block4_	disappearance_	shape1_	black_	counterclockwise_	loc3_	istarget_	correct_or_press	block4_disappearance_shape1_black_counterclockwise_istarget_correct_or_pressloc3_
31	1	4	111	1	2	2	0	3	0	1	411220103	block4_	disappearance_	shape1_	white_	counterclockwise_	loc3_	notarget_	correct_or_press	block4_disappearance_shape1_white_counterclockwise_notarget_correct_or_pressloc3_
32	1	4	131	2	2	1	1	3	15	1	412211103	block4_	disappearance_	shape2_	white_	clockwise_	loc3_	istarget_	correct_or_press	block4_disappearance_shape2_white_clockwise_istarget_correct_or_pressloc3_
33	1	4	113	1	2	1	1	1	17	1	411211101	block4_	disappearance_	shape1_	white_	clockwise_	loc1_	istarget_	correct_or_press	block4_disappearance_shape1_white_clockwise_istarget_correct_or_pressloc1_
34	1	4	110	1	2	2	0	2	0	1	411220102	block4_	disappearance_	shape1_	white_	counterclockwise_	loc2_	notarget_	correct_or_press	block4_disappearance_shape1_white_counterclockwise_notarget_correct_or_pressloc2_
35	1	4	116	1	2	1	0	4	0	1	411210104	block4_	disappearance_	shape1_	white_	clockwise_	loc4_	notarget_	correct_or_press	block4_disappearance_shape1_white_clockwise_notarget_correct_or_pressloc4_
36	1	4	122	2	1	1	0	2	0	1	412110102	block4_	disappearance_	shape2_	black_	clockwise_	loc2_	notarget_	correct_or_press	block4_disappearance_shape2_black_clockwise_notarget_correct_or_pressloc2_
37	1	4	101	1	1	2	0	1	0	1	411120101	block4_	disappearance_	shape1_	black_	counterclockwise_	loc1_	notarget_	correct_or_press	block4_disappearance_shape1_black_counterclockwise_notarget_correct_or_pressloc1_
38	1	4	113	1	2	1	0	1	0	1	411210101	block4_	disappearance_	shape1_	white_	clockwise_	loc1_	notarget_	correct_or_press	block4_disappearance_shape1_white_clockwise_notarget_correct_or_pressloc1_
39	1	4	107	1	1	1	1	3	10	1	411111103	block4_	disappearance_	shape1_	black_	clockwise_	loc3_	istarget_	correct_or_press	block4_disappearance_shape1_black_clockwise_istarget_correct_or_pressloc3_
40	1	4	111	1	2	2	0	3	0	1	411220103	block4_	disappearance_	shape1_	white_	counterclockwise_	loc3_	notarget_	correct_or_press	block4_disappearance_shape1_white_counterclockwise_notarget_correct_or_pressloc3_
41	1	4	130	2	2	1	1	2	20	1	412211102	block4_	disappearance_	shape2_	white_	clockwise_	loc2_	istarget_	correct_or_press	block4_disappearance_shape2_white_clockwise_istarget_correct_or_pressloc2_
42	1	4	103	1	1	2	0	3	0	1	411120103	block4_	disappearance_	shape1_	black_	counterclockwise_	loc3_	notarget_	correct_or_press	block4_disappearance_shape1_black_counterclockwise_notarget_correct_or_pressloc3_
43	1	4	112	1	2	2	0	4	0	1	411220104	block4_	disappearance_	shape1_	white_	counterclockwise_	loc4_	notarget_	correct_or_press	block4_disappearance_shape1_white_counterclockwise_notarget_correct_or_pressloc4_
44	1	4	130	2	2	1	0	2	0	1	412210102	block4_	disappearance_	shape2_	white_	clockwise_	loc2_	notarget_	correct_or_press	block4_disappearance_shape2_white_clockwise_notarget_correct_or_pressloc2_
45	1	4	120	2	1	2	0	4	0	1	412120104	block4_	disappearance_	shape2_	black_	counterclockwise_	loc4_	notarget_	correct_or_press	block4_disappearance_shape2_black_counterclockwise_notarget_correct_or_pressloc4_
46	1	4	129	2	2	1	0	1	0	1	412210101	block4_	disappearance_	shape2_	white_	clockwise_	loc1_	notarget_	correct_or_press	block4_disappearance_shape2_white_clockwise_notarget_correct_or_pressloc1_
47	1	4	109	1	2	2	0	1	0	1	411220101	block4_	disappearance_	shape1_	white_	counterclockwise_	loc1_	notarget_	correct_or_press	block4_disappearance_shape1_white_counterclockwise_notarget_correct_or_pressloc1_
48	1	4	109	1	2	2	0	1	0	1	411220101	block4_	disappearance_	shape1_	white_	counterclockwise_	loc1_	notarget_	correct_or_press	block4_disappearance_shape1_white_counterclockwise_notarget_correct_or_pressloc1_
49	1	4	114	1	2	1	0	2	0	1	411210102	block4_	disappearance_	shape1_	white_	clockwise_	loc2_	notarget_	correct_or_press	block4_disappearance_shape1_white_clockwise_notarget_correct_or_pressloc2_
50	1	4	125	2	2	2	0	1	0	1	412220101	block4_	disappearance_	shape2_	white_	counterclockwise_	loc1_	notarget_	correct_or_press	block4_disappearance_shape2_white_counterclockwise_notarget_correct_or_pressloc1_
51	1	4	128	2	2	2	0	4	0	1	412220104	block4_	disappearance_	shape2_	white_	counterclockwise_	loc4_	notarget_	correct_or_press	block4_disappearance_shape2_white_counterclockwise_notarget_correct_or_pressloc4_
52	1	4	108	1	1	1	1	4	14	1	411111104	block4_	disappearance_	shape1_	black_	clockwise_	loc4_	istarget_	correct_or_press	block4_disappearance_shape1_black_clockwise_istarget_correct_or_pressloc4_
53	1	4	132	2	2	1	1	4	19	0	412211004	block4_	disappearance_	shape2_	white_	clockwise_	loc4_	istarget_	incorrect_or_nopress	block4_disappearance_shape2_white_clockwise_istarget_incorrect_or_nopressloc4_
54	1	4	117	2	1	2	0	1	0	1	412120101	block4_	disappearance_	shape2_	black_	counterclockwise_	loc1_	notarget_	correct_or_press	block4_disappearance_shape2_black_counterclockwise_notarget_correct_or_pressloc1_
